tweet_id,timestamp,source,text,jpg_url,short_url,name,dog_stage,rating,favorite_count,retweet_count
758828659922702336,2016-07-29 00:57:05,iPhone,This doggo is just waiting for someone to be proud of her and her accomplishment. 13/10 legendary af,https://pbs.twimg.com/media/Cofmom_VUAA4dRO.jpg,https://t.co/9T2h14yn4Q,None,doggo,1.3,11200,3819
758854675097526272,2016-07-29 02:40:28,iPhone,"This is Lilli Bee &amp; Honey Bear. Unfortunately, they were both born with no eyes. So heckin sad. Both 11/10",https://pbs.twimg.com/media/Cof-SuqVYAAs4kZ.jpg,https://t.co/4UrfOZhztW,Lilli,None,1.1,3544,893
758854675097526272,2016-07-29 02:40:28,iPhone,"This is Lilli Bee &amp; Honey Bear. Unfortunately, they were both born with no eyes. So heckin sad. Both 11/10",https://pbs.twimg.com/media/Cof-SuqVYAAs4kZ.jpg,https://t.co/4UrfOZhztW,Lilli,None,1.1,3544,893
759047813560868866,2016-07-29 15:27:55,iPhone,This is Spencer. He's part of the Queen's Guard. Takes his job very seriously. 11/10,https://pbs.twimg.com/media/Coit84_VYAEMtLi.jpg,https://t.co/8W5iSOgXfx,Spencer,None,1.1,6471,2004
759047813560868866,2016-07-29 15:27:55,iPhone,This is Spencer. He's part of the Queen's Guard. Takes his job very seriously. 11/10,https://pbs.twimg.com/media/Coit84_VYAEMtLi.jpg,https://t.co/8W5iSOgXfx,Spencer,None,1.1,6471,2004
759099523532779520,2016-07-29 18:53:24,iPhone,Meet Toby. He has a drinking problem. Inflatable marijuana plant in the back is also not a good look. 7/10 cmon Toby,https://pbs.twimg.com/media/Cojc_Q0WcAAqi_K.jpg,https://t.co/Cim4DSj6Oi,Toby,None,0.7,14479,4159
759099523532779520,2016-07-29 18:53:24,iPhone,Meet Toby. He has a drinking problem. Inflatable marijuana plant in the back is also not a good look. 7/10 cmon Toby,https://pbs.twimg.com/media/Cojc_Q0WcAAqi_K.jpg,https://t.co/Cim4DSj6Oi,Toby,None,0.7,14479,4159
759197388317847553,2016-07-30 01:22:17,iPhone,This is Luna. She's just heckin precious af I have nothing else to say. 12/10,https://pbs.twimg.com/media/Cok1_sjXgAU3xpp.jpg,https://t.co/gQH2mmKIJW,Luna,None,1.2,6070,1942
759197388317847553,2016-07-30 01:22:17,iPhone,This is Luna. She's just heckin precious af I have nothing else to say. 12/10,https://pbs.twimg.com/media/Cok1_sjXgAU3xpp.jpg,https://t.co/gQH2mmKIJW,Luna,None,1.2,6069,1942
759447681597108224,2016-07-30 17:56:51,iPhone,This is Oakley. He has no idea what happened here. Even offered to help clean it up. 11/10 such a heckin good boy,https://pbs.twimg.com/media/CooZok_WEAA7oPw.jpg,https://t.co/vT3JM8b989,Oakley,None,1.1,8471,2452
759447681597108224,2016-07-30 17:56:51,iPhone,This is Oakley. He has no idea what happened here. Even offered to help clean it up. 11/10 such a heckin good boy,https://pbs.twimg.com/media/CooZok_WEAA7oPw.jpg,https://t.co/vT3JM8b989,Oakley,None,1.1,8471,2452
759557299618865152,2016-07-31 01:12:26,iPhone,This is Emma. She can't believe her last guess didn't hit. Convinced ur stacking them on top of each other. 10/10,https://pbs.twimg.com/media/Cop9VVUXgAAhX9u.jpg,https://t.co/JRV1dhBYwu,Emma,None,1.0,4687,1181
759557299618865152,2016-07-31 01:12:26,iPhone,This is Emma. She can't believe her last guess didn't hit. Convinced ur stacking them on top of each other. 10/10,https://pbs.twimg.com/media/Cop9VVUXgAAhX9u.jpg,https://t.co/JRV1dhBYwu,Emma,None,1.0,4687,1181
759793422261743616,2016-07-31 16:50:42,iPhone,"Meet Maggie &amp; Lila. Maggie is the doggo, Lila is the pupper. They are sisters. Both 12/10 would pet at the same time",https://pbs.twimg.com/media/CotUFZEWcAA2Pku.jpg,https://t.co/MYwR4DQKll,Maggie,doggo/pupper,1.2,5952,1904
759793422261743616,2016-07-31 16:50:42,iPhone,"Meet Maggie &amp; Lila. Maggie is the doggo, Lila is the pupper. They are sisters. Both 12/10 would pet at the same time",https://pbs.twimg.com/media/CotUFZEWcAA2Pku.jpg,https://t.co/MYwR4DQKll,Maggie,doggo/pupper,1.2,5952,1904
759846353224826880,2016-07-31 20:21:02,iPhone,This is Kirby. He's a Beneblip Cumberpat. Pretty heckin rare. 11/10 would put my face against his face,https://pbs.twimg.com/media/CouEOZhWAAAgFpE.jpg,https://t.co/fd6uucghY6,Kirby,None,1.1,6730,1964
